id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,52399,0,0,343,276,12.5,87.5,0.9945523738861084,0.9759871959686279,0,0,800,800
1,1622,422,434,43,52,437.5,462.5,0.9852316975593567,0.9803921580314636,0,0,800,800
2,13552,692,501,107,188,737.5,687.5,0.985197901725769,0.9865122437477112,0,0,800,800
3,10908,170,375,165,131,187.5,437.5,0.9846016764640808,0.978804349899292,0,0,800,800
4,2869,135,460,70,59,162.5,512.5,0.9833219051361084,0.9844398498535156,0,0,800,800
5,52440,0,0,343,489,337.5,62.5,0.982017993927002,0.958169162273407,0,0,800,800
6,96089,435,0,364,394,737.5,312.5,0.9810094833374023,0.9737067222595215,0,0,800,800
7,2494,688,765,111,34,737.5,787.5,0.9783079624176025,0.9797859787940979,0,0,800,800
8,1042,543,1,44,34,562.5,12.5,0.9782924056053162,0.9885823130607605,0,0,800,800
9,7784,341,606,111,120,387.5,712.5,0.9772642850875854,0.983562707901001,0,0,800,800
10,1025,743,362,56,33,787.5,387.5,0.9768927097320557,0.9883720874786377,0,0,800,800
11,1446,28,313,49,47,37.5,337.5,0.9754163026809692,0.9720136523246765,0,0,800,800
12,7346,473,427,125,106,537.5,487.5,0.9749701023101807,0.9609730243682861,0,0,800,800
13,34019,0,0,186,276,137.5,212.5,0.9744924902915955,0.959801435470581,0,0,800,800
14,1073,682,746,55,34,712.5,762.5,0.9710339903831482,0.9806985259056091,0,0,800,800
15,842,751,404,36,36,762.5,437.5,0.970683217048645,0.9707602262496948,0,0,800,800
16,5193,36,393,108,73,137.5,437.5,0.9696865081787109,0.9678152203559875,0,0,800,800
17,4707,0,543,62,104,37.5,562.5,0.969458281993866,0.9827259182929993,0,0,800,800
18,1312,105,416,39,50,137.5,437.5,0.967006266117096,0.9545792937278748,0,0,800,800
19,7839,483,561,129,121,512.5,637.5,0.9666506052017212,0.9693021178245544,0,0,800,800
20,37417,7,528,313,271,162.5,662.5,0.9655290842056274,0.950570821762085,0,0,800,800
21,7198,195,626,125,173,237.5,787.5,0.9652044773101807,0.9704918265342712,0,0,800,800
22,634,655,137,27,36,662.5,162.5,0.9650543928146362,0.9796556830406189,0,0,800,800
23,7208,195,704,125,95,287.5,787.5,0.9649531841278076,0.9707969427108765,0,0,800,800
24,27912,97,528,196,240,237.5,612.5,0.962980329990387,0.9774329662322998,0,0,800,800
25,881,8,511,41,39,12.5,537.5,0.9612695574760437,0.9808773994445801,0,0,800,800
26,5089,0,501,63,147,37.5,637.5,0.9600116014480591,0.9730985164642334,0,0,800,800
27,2625,0,769,128,30,112.5,787.5,0.9595864415168762,0.9762979745864868,0,0,800,800
28,1183,707,480,83,44,762.5,512.5,0.9578132033348083,0.9717373251914978,0,0,800,800
29,4138,608,281,71,74,662.5,337.5,0.9576520323753357,0.9650748372077942,0,0,800,800
30,1232,0,730,29,56,12.5,737.5,0.9566417932510376,0.9782082438468933,0,0,800,800
31,424,636,547,22,25,637.5,562.5,0.95567387342453,0.9789719581604004,0,0,800,800
32,468,105,252,30,21,112.5,262.5,0.9546018838882446,0.9830867052078247,0,0,800,800
33,3536,173,134,87,73,187.5,187.5,0.954281747341156,0.9674094915390015,0,0,800,800
34,4827,349,606,103,84,387.5,637.5,0.9533721804618835,0.9706302285194397,0,0,800,800
